clean_text,likes,shares,comments,sentiment_score,contains_link,contains_hashtag,platform_encoded,device_encoded,verified_encoded,target
solar disinfection of water proves effective,299,54,28,0.14,1,1,0,3,0,0
rainwater harvesting gains popularity in uganda,224,119,32,0.03,0,1,2,2,0,0
unknown,129,74,61,0.05,1,1,2,2,0,0
clean water access has improved in rural kenya,64,20,14,-0.64,1,0,2,3,1,0
water kiosks now serve clean water in nairobi,36,132,1,-0.01,0,0,1,1,0,0
tap water linked to reduced iq,127,86,51,0.03,0,1,0,1,1,1
proper handwashing reduces cholera outbreaks,230,58,43,0.7,1,1,0,3,0,0
sanitation drives are working in rural areas,240,88,53,-0.07,0,1,1,2,0,0
experts debate the safety of boiling water,62,149,17,0.86,1,1,3,2,1,1
more east african homes now use filtration,242,82,2,0.66,1,0,2,3,0,0
drinking bottled water causes kidney failure,167,64,6,-0.19,1,0,3,2,1,1
sanitation drives are working in rural areas,278,63,42,0.48,0,1,1,0,0,0
mobile apps now report safe borehole locations,30,70,81,-0.26,1,1,3,3,1,0
water kiosks now serve clean water in nairobi,62,3,37,1.0,0,1,3,0,0,0
drinking bottled water causes kidney failure,284,142,36,0.15,1,0,1,2,0,1
safe sanitation is key to public health,290,103,57,0.34,0,0,2,1,1,0
using soap daily can cause skin cancer,223,149,32,0.26,1,0,3,1,0,1
safe sanitation is key to public health,40,92,58,1.14,0,0,0,0,0,0
chlorinated water is a government mind control tactic,192,141,94,0.42,1,1,3,3,1,1
vaccines in water are used to track people,32,147,10,-0.84,0,1,3,3,1,1
using soap daily can cause skin cancer,41,111,67,0.27,0,0,0,0,1,1
soap brands contain microchips for surveillance,83,118,81,0.18,0,1,2,3,0,1
public toilets improve hygiene in kampala,19,58,67,0.25,1,1,0,2,1,0
safe sanitation is key to public health,63,42,97,0.12,1,0,2,2,1,0
boiled water increases blood acidity,61,11,92,0.83,1,1,1,2,0,1
solar disinfection of water proves effective,157,39,87,-0.2,1,1,1,3,0,0
east african communities adopt water filtration,169,117,21,-0.11,1,1,3,2,0,0
ngos distribute water purification tablets,23,19,65,0.55,1,1,3,2,1,0
local programs claim sanitation success,187,130,43,-0.42,1,0,1,1,0,0
water kiosks now serve clean water in nairobi,62,89,5,0.54,1,0,0,0,1,0
soap brands contain microchips for surveillance,31,93,41,0.04,1,0,1,2,0,1
safe sanitation is key to public health,39,12,24,0.07,0,1,2,0,0,0
filtered water removes essential nutrients,200,65,56,0.38,1,1,3,3,1,1
rainwater harvesting gains popularity in uganda,269,36,84,0.32,0,1,0,3,1,0
rainwater is safer than treated tap water,214,65,54,0.09,0,1,3,1,1,1
chlorinated water is a government mind control tactic,68,35,15,-0.17,0,1,1,1,1,1
western ngos poison wells to reduce population,273,25,94,0.05,0,1,0,1,0,1
soap brands contain microchips for surveillance,21,74,13,0.95,0,1,1,2,1,1
tap water linked to reduced iq,128,107,38,0.05,0,0,2,2,0,1
unknown,299,42,27,-0.24,0,1,1,3,0,0
new who guidelines promote water boiling,257,149,95,0.11,1,1,0,1,0,0
sanitation drives are working in rural areas,136,147,91,0.16,0,1,1,1,0,0
proper handwashing reduces cholera outbreaks,84,7,50,0.87,0,1,3,1,1,0
ngos distribute water purification tablets,213,28,48,0.31,0,1,3,1,1,0
experts debate the safety of boiling water,58,39,8,0.94,0,0,0,3,0,1
local programs claim sanitation success,88,127,57,1.02,0,0,3,1,0,1
rainwater harvesting gains popularity in uganda,250,83,44,0.49,1,1,2,0,1,0
experts debate the safety of boiling water,163,115,21,-0.06,1,1,2,0,0,1
new who guidelines promote water boiling,283,143,31,-0.03,1,1,0,0,0,0
sanitizer causes infertility experts say,105,61,68,0.6,0,1,1,3,0,1
experts debate the safety of boiling water,223,6,86,-0.38,1,0,3,3,1,1
solar disinfection of water proves effective,218,44,68,-0.06,1,1,3,2,0,0
new who guidelines promote water boiling,97,87,41,0.77,0,0,1,3,0,0
vaccines in water are used to track people,273,72,52,1.2,1,1,1,1,0,1
studies show water quality impacts health,166,36,95,0.02,0,1,1,2,1,0
clean water access has improved in rural kenya,165,118,58,0.41,0,1,1,3,1,0
drinking bottled water causes kidney failure,148,56,73,0.22,1,1,3,1,0,1
